ProcessName,2010,2015,2020,2025,2030,2035,2040,2045,2050,RegionName,Unit
RHNACHBRH01 [RES.HEAT.NEW-AVERAGE: .01.HDG.MICRO-CHP-BOILER.STD.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNACHPRG01 [RES.HEAT.NEW-AVERAGE: .01.GAS.MICRO-CHP.STD.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNACHPRH01 [RES.HEAT.NEW-AVERAGE: .01.HDG.MICRO-CHP.STD.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNACHPRW01 [RES.HEAT.NEW-AVERAGE: .01.PELH.MICRO-CHP.STD.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAGHBRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.NGA.BOILER.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAGHBUE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.NGA.BOILER.UNDERFLOOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAGHHRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.HDG.BOILER.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAGHHUE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.HDG.BOILER.UNDERFLOOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAGHPRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAGHPUE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.UNDERFLOOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAGHSRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.SOLAR-THERMAL.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAGHSUE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.SOLAR-THERMAL.UNDERFLOOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNANSTRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.RESISTANCE.STANDALONE.NIGHT-STORAGE.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNARAD01 [RES.HEAT.NEW-AVERAGE: .01.HTP.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAREFCG01 [RES.HEAT.NEW-AVERAGE: .01.HDG.MICRO-CHP.REFORMER.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNASA01 [RES.HEAT.NEW-AVERAGE: .01.STANDALONE.DELIVERY.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNASHTRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.RESISTANCE.STANDALONE.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNASHTRG01 [RES.HEAT.NEW-AVERAGE: .01.NGA.HEATER.STANDALONE.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNASTGNT01 [RES.HEAT.NEW-AVERAGE: .01.ELC.NIGHT-STORAGE.HEAT-SUPPLY.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAUND01 [RES.HEAT.NEW-AVERAGE: .01.HTP.UNDERFLOOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RWEACSV01 [RES.WATER.EXISTING-AVERAGE: .01.CONSERVATION-MEASURES.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RWEASA01 [RES.WATER.EXISTING-AVERAGE: .01.STANDALONE.DELIVERY.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RWEAWHTRE01 [RES.WATER.EXISTING-AVERAGE: .01.ELC.RESISTANCE.STANDALONE.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RWEAWHTRG01 [RES.WATER.EXISTING-AVERAGE: .01.NGA.BOILER.STD.STANDALONE.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RWNASA01 [RES.WATER.NEW-AVERAGE: .01.STANDALONE.DELIVERY.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RWNAWHTRE01 [RES.WATER.NEW-AVERAGE: .01.ELC.RESISTANCE.STANDALONE.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RWNAWHTRG01 [RES.WATER.NEW-AVERAGE: .01.NGA.BOILER.STD.STANDALONE.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
